gembase_name	orig_name	to_annotate	gsize	nb_conts	L90
PHIN.0723.00001	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142795.1_ASM2514279v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142795.1_ASM2514279v1_genomic.fna_prepare-split5N.fna	4139108	3	1
PHIN.0723.00002	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_000154765.2_ASM15476v2_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_000154765.2_ASM15476v2_genomic.fna_prepare-split5N.fna	4227134	4	1
PHIN.0723.00003	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142835.1_ASM2514283v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142835.1_ASM2514283v1_genomic.fna_prepare-split5N.fna	4089150	4	1
PHIN.0723.00004	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143405.1_ASM2514340v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143405.1_ASM2514340v1_genomic.fna_prepare-split5N.fna	4182712	4	1
PHIN.0723.00005	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892165.1_ASM289216v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892165.1_ASM289216v1_genomic.fna_prepare-split5N.fna	4103784	4	1
PHIN.0723.00006	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_003443555.1_ASM344355v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_003443555.1_ASM344355v1_genomic.fna_prepare-split5N.fna	4160913	4	1
PHIN.0723.00007	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_003443575.1_ASM344357v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_003443575.1_ASM344357v1_genomic.fna_prepare-split5N.fna	4188145	4	1
PHIN.0723.00008	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_030060455.1_ASM3006045v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_030060455.1_ASM3006045v1_genomic.fna_prepare-split5N.fna	4385166	4	1
PHIN.0723.00009	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142455.1_ASM2514245v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142455.1_ASM2514245v1_genomic.fna_prepare-split5N.fna	4178771	4	1
PHIN.0723.00010	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142675.1_ASM2514267v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142675.1_ASM2514267v1_genomic.fna_prepare-split5N.fna	4204626	4	1
