#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M633","SAMN20717972","PRJNA753157","GCA_025142815.1","Complete",4.40221,59.7779,"chromosome:NZ_CP081243.1/CP081243.1; plasmid unnamed1:NZ_CP081244.1/CP081244.1; plasmid unnamed2:NZ_CP081245.1/CP081245.1; plasmid unnamed3:NZ_CP081246.1/CP081246.1; plasmid unnamed4:NZ_CP081247.1/CP081247.1",,5,4074,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/815/GCF_025142815.1_ASM2514281v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P10","SAMN03292293","PRJNA273448","GCA_002888685.1","Complete",4.23761,59.787,"chromosome:NZ_CP010595.1/CP010595.1; plasmid pP10_a:NZ_CP010596.1/CP010596.1; plasmid pP10_b:NZ_CP010597.1/CP010597.1; plasmid pP10_c:NZ_CP010598.1/CP010598.1",,4,3877,"2018-01-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/888/685/GCF_002888685.1_ASM288868v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P80","SAMN03294493","PRJNA273605","GCA_002892145.1","Complete",4.69583,59.5907,"chromosome:NZ_CP010756.1/CP010756.1; plasmid pP80_a:NZ_CP010757.1/CP010757.1; plasmid pP80_b:NZ_CP010758.1/CP010758.1; plasmid pP80_c:NZ_CP010759.1/CP010759.1; plasmid pP80_d:NZ_CP010760.1/CP010760.1; plasmid pP80_e:NZ_CP010761.1/CP010761.1; plasmid pP80_f:NZ_CP010762.1/CP010762.1; plasmid pP80_g:NZ_CP010763.1/CP010763.1; plasmid pP80_h:NZ_CP010764.1/CP010764.1; plasmid pP80_i:NZ_CP010765.1/CP010765.1; plasmid pP80_k:NZ_CP010766.1/CP010766.1",,11,4359,"2018-01-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/145/GCF_002892145.1_ASM289214v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P83","SAMN03294494","PRJNA273606","GCA_002892225.1","Complete",4.64892,59.6414,"chromosome:NZ_CP010599.1/CP010599.1; plasmid pP83_a:NZ_CP010600.1/CP010600.1; plasmid pP83_b:NZ_CP010601.1/CP010601.1; plasmid pP83_c:NZ_CP010602.1/CP010602.1; plasmid pP83_d:NZ_CP010603.1/CP010603.1; plasmid pP83_e:NZ_CP010604.1/CP010604.1; plasmid pP83_f:NZ_CP010605.1/CP010605.1; plasmid pP83_g:NZ_CP010606.1/CP010606.1; plasmid pP83_h:NZ_CP010607.1/CP010607.1; plasmid pP83_i:NZ_CP010608.1/CP010608.1; plasmid pP83_k:NZ_CP010609.1/CP010609.1",,11,4309,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/225/GCF_002892225.1_ASM289222v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P72","SAMN03294488","PRJNA273600","GCA_002891945.1","Complete",4.42919,59.7813,"chromosome:NZ_CP010735.1/CP010735.1; plasmid pP72_a:NZ_CP010736.1/CP010736.1; plasmid pP72_b:NZ_CP010737.1/CP010737.1; plasmid pP72_c:NZ_CP010738.1/CP010738.1; plasmid pP72_d:NZ_CP010739.1/CP010739.1; plasmid pP72_e:NZ_CP010740.1/CP010740.1",,6,4115,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/891/945/GCF_002891945.1_ASM289194v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M623","SAMN20702179","PRJNA753157","GCA_025142595.1","Complete",4.31469,59.8825,"chromosome:NZ_CP081170.1/CP081170.1; plasmid unnamed1:NZ_CP081171.1/CP081171.1; plasmid unnamed2:NZ_CP081172.1/CP081172.1; plasmid unnamed3:NZ_CP081173.1/CP081173.1; plasmid unnamed4:NZ_CP081174.1/CP081174.1",,5,3977,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/595/GCF_025142595.1_ASM2514259v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M619","SAMN20702178","PRJNA753157","GCA_025142455.1","Complete",4.17877,59.9331,"chromosome:NZ_CP081166.1/CP081166.1; plasmid unnamed1:NZ_CP081167.1/CP081167.1; plasmid unnamed2:NZ_CP081168.1/CP081168.1; plasmid unnamed3:NZ_CP081169.1/CP081169.1",,4,3843,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/455/GCF_025142455.1_ASM2514245v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M646","SAMN20718542","PRJNA753157","GCA_025143405.1","Complete",4.18271,59.9301,"chromosome:NZ_CP081271.1/CP081271.1; plasmid unnamed1:NZ_CP081272.1/CP081272.1; plasmid unnamed2:NZ_CP081273.1/CP081273.1; plasmid unnamed3:NZ_CP081274.1/CP081274.1",,4,3841,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/143/405/GCF_025143405.1_ASM2514340v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M624","SAMN20717394","PRJNA753157","GCA_025142675.1","Complete",4.20463,59.8193,"chromosome:NZ_CP081212.1/CP081212.1; plasmid unnamed1:NZ_CP081213.1/CP081213.1; plasmid unnamed2:NZ_CP081214.1/CP081214.1; plasmid unnamed3:NZ_CP081215.1/CP081215.1",,4,3865,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/675/GCF_025142675.1_ASM2514267v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M631","SAMN20717741","PRJNA753157","GCA_025142775.1","Complete",4.31401,59.8678,"chromosome:NZ_CP081235.1/CP081235.1; plasmid unnamed1:NZ_CP081236.1/CP081236.1; plasmid unnamed2:NZ_CP081237.1/CP081237.1; plasmid unnamed3:NZ_CP081238.1/CP081238.1; plasmid unnamed4:NZ_CP081239.1/CP081239.1",,5,3980,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/775/GCF_025142775.1_ASM2514277v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M627","SAMN20717567","PRJNA753157","GCA_025142735.1","Complete",4.24475,59.7713,"chromosome:NZ_CP081225.1/CP081225.1; plasmid unnamed1:NZ_CP081226.1/CP081226.1; plasmid unnamed2:NZ_CP081227.1/CP081227.1; plasmid unnamed3:NZ_CP081228.1/CP081228.1; plasmid unnamed4:NZ_CP081229.1/CP081229.1",,5,3900,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/735/GCF_025142735.1_ASM2514273v1"
